# Gaia DR2
# CMC15
# Pan-STARRS DR1
# 2MASS All-Sky
# SDSS DR12
# URAT1
# UCAC4
RA [deg]	Decl [deg]	gmag [mag]	PM_RA [mas/yr]	PM_Decl [mas/yr]	|RA_ICRS [deg]	DE_ICRS [deg]	Jmag [mag]	PM Ksi [mas]	PM Eta [mas]	F	|RAJ2000 [deg]	DEJ2000 [deg]	gmag [mag]	PM Ksi [mas]	PM Eta [mas]	F	|RAJ2000 [deg]	DEJ2000 [deg]	Jmag [mag]	PM Ksi [mas]	PM Eta [mas]	F	|RA_ICRS [deg]	DE_ICRS [deg]	gmag [mag]	PM Ksi [mas]	PM Eta [mas]	F	|RAJ2000 [deg]	DEJ2000 [deg]	gmag [mag]	PM Ksi [mas]	PM Eta [mas]	F	|RAJ2000 [deg]	DEJ2000 [deg]	gmag [mag]	PM Ksi [mas]	PM Eta [mas]	F
65.40019016727416	-27.046093160540174	14.651221	-12.468864623801398	20.545892085868484	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|65.4002427	-27.0462175	16.872	[7.38563689]	[-11.69074082]	29.910482604129978
254.15301923335824	-31.49578767562987	19.950592	-128.9009422565504	135.5409706719249	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|254.0300365	-31.6204128	nan	[-12057.17534603]	[-14350.4713481]	11178.670749850424
254.15284699394627	-31.495898946225555	19.881737	-9.283945718995257	2.8919010277878305	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|254.0300365	-31.6204128	nan	[-12040.28947782]	[-14337.64847619]	11489.234499376353
253.99368421857025	-31.4592955824554	19.939587	-1.0412613110614533	4.439233471202504	|nan	nan	nan	nan	nan	nan	|254.03513364	-31.62048237	20.1589	[33033.22944336]	[-521397.03921054]	249.41604917381986	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
180.18576535460744	20.8481868808324	11.625326	-129.49672692481522	235.9547248878534	|180.186335	20.847203	9.108	[123.07921453]	[-231.50640217]	232.88272140040507	|nan	nan	nan	nan	nan	nan	|180.186419	20.84716	9.108	[145.00386876]	[-224.46195124]	189.28727674185407	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|180.1863359	20.8472778	13.343	[123.89433033]	[-211.78279645]	249.24085300769872
308.0096436108601	41.92681990974269	19.663229	21.121711260719152	-5.906500939633042	|307.965308	41.805725	10.024	[-8814.0257197]	[-32299.7269679]	10064.538707550231	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|307.9653139	41.805735	11.309	[-63274.25335192]	[-231837.90392039]	51617.1302811916	|nan	nan	nan	nan	nan	nan
4.60971642938118	-63.47774960730262	7.32638	90.06748591227064	-59.18017358531833	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|4.608843	-63.4774953	nan	[-49.80816085]	[36.72697776]	84.4284382136913
0.634392555573465	-63.404373096473215	11.785486	-500.24225051723465	-551.7974730494599	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|0.641273	-63.4019714	13.439	[719.68260355]	[553.84831084]	516.5769438259899
3.3962076133188446	-63.83916575063653	13.694408	39.55330749983223	26.0086143880757	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|3.395878	-63.8392884	15.656	[-18.750804]	[-21.22297475]	36.29473945301691
1.0333316347129542	-63.70835445266874	12.466385	177.30062140229305	-43.75495960952376	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|1.0315845	-63.7081692	14.203	[-126.3151828]	[28.87823529]	121.52595879532625
275.13216207010197	-24.00048909998126	18.879007	-7.935854828622381	4.877275772464745	|275.093347	-24.159816	14.191	[-11048.58630806]	[-49789.28644736]	5541.547583490196	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
268.654759324281	-15.814526729615629	19.88071	-6.982367256306575	-1.499386959706169	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|268.602871	-15.964822	13.559	[-11120.54074545]	[-33475.38659157]	10652.477814574364	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
107.8658259795923	48.327932722393726	11.394378	-93.0761681487608	-570.5525197717676	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|107.863398	48.3310153	nan	[-300.00311338]	[569.4628494]	674.1342986051194
195.03415869659096	-28.461081383007844	13.101027	-132.0900836451611	-54.769569753026275	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|195.0348062	-28.4608417	14.961	[99.47554864]	[42.15979364]	123.44580773286592
159.34807776532267	33.939240861978824	14.392943	65.18228581980244	-19.56851927235327	|159.347779	33.939339	11.284	[-70.52133819]	[33.66371587]	41.09607938602143	|nan	nan	nan	nan	nan	nan	|159.347706	33.93935	11.284	[-64.90870035]	[24.00661439]	50.32717961910308	|nan	nan	nan	nan	nan	nan	|159.3480285	33.9392636	16.656	[-111.40760954]	[72.40494961]	18.68527834142801	|159.34772	33.9393856	nan	[-25.57374939]	[12.98747859]	111.58739603793362
160.76132620618463	34.44400224993012	13.958513	12.240525843130591	-77.90413060838485	|160.761292	34.444305	11.278	[-3.29802053]	[70.36002883]	67.49792787647766	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|160.7613158	34.4440383	15.851	[-8.50366381]	[100.05226479]	9.700726021223241	|160.7612848	34.4442817	15.851	[-6.06449196]	[74.46077368]	53.29823278667472
236.514726226569	-7.443348398257524	13.686811	-80.512602923209	-11.860518634155275	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|236.5150942	-7.4432789	15.697	[74.63423108]	[16.15816547]	72.86767602852157
133.9485685281792	61.166644801724864	8.681542	39.31343844543271	-115.17841617967048	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|133.9482121	61.1671406	nan	[-25.1224952]	[73.22148723]	143.9372684616944
134.7583000684652	60.99263825730304	15.568015	-50.772933171782924	-155.69661102425312	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|134.7585915	60.9931275	18.008	[32.77707088]	[114.01296012]	123.27531734735598
229.5078752188911	42.25722486417057	9.218065	13.158307339447022	-8.24016300950964	|229.507809	42.257258	nan	[-15.87203902]	[10.3755588]	12.886938614566095	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|229.5077948	42.2572589	nan	[-7.71462123]	[3.65568078]	17.167752777428117
226.69425697559714	40.67079477320403	15.024842	-76.72058518308597	-21.23784623624436	|226.694602	40.670874	11.672	[64.00298478]	[18.43687486]	58.15311171415186	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|226.6946442	40.6708378	nan	[36.08345865]	[5.58452653]	129.8662359417464
295.5300424726575	20.501219532594238	20.431515	-8.36401348180045	4.772214329331318	|295.646136	20.37516	13.311	[27072.23424116]	[-31277.68993942]	11334.630928537432	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
295.49248060319957	20.40125311232585	20.61205	-0.8397733837765992	-3.8151464478847092	|295.576328	20.259894	13.449	[19497.95153119]	[-35099.39227859]	14412.807340639598	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
295.40318970801684	20.4626730510033	20.596928	-10.524281485728341	-18.601159539807462	|295.362571	20.307274	14.023	[-9484.2596638]	[-38575.43032815]	10002.099915114115	|nan	nan	nan	nan	nan	nan	|295.362634	20.307343	14.023	[-6275.69647905]	[-30603.93016864]	340.1994753786253	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
295.0942858340616	20.470549728204368	20.13009	3.7516021876361476	-42.05677967908567	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|294.9902903	20.3663703	nan	[-22037.81542806]	[-23546.81174962]	9277.671110624009
296.0159353613103	20.326280599109488	20.045162	-2.9850367487080827	-0.7173042087116012	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|295.9080828	20.1982747	nan	[-215018.92215459]	[-265030.17780968]	360.2979633914356	|nan	nan	nan	nan	nan	nan
295.42382856743365	20.42434933129462	19.019379	-7.388736329203857	10.637201883376553	|295.569818	20.337197	14.914	[33959.33515574]	[-21617.72989634]	11886.609484655435	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
295.42228779366457	20.484214084898163	20.571224	-7.444272650278981	-10.692979824116692	|295.402571	20.327314	14.061	[-4573.43993448]	[-38954.05950602]	13477.690171643348	|295.40162539	20.32485658	21.4677	[6477.25441667]	[-152343.23606939]	264.12979070018355	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|295.4002261	20.32715	nan	[-37350.47446721]	[-282630.69600128]	17724.285892808755	|nan	nan	nan	nan	nan	nan
295.38820870773554	20.491492384476395	20.792114	-0.5089512110284495	-7.027667709642396	|295.402571	20.327314	14.061	[3361.74540348]	[-40736.75592875]	9451.43386460264	|295.40257783	20.32726026	17.4071	[-69248.73943227]	[-144953.0416286]	167.009037754609	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|295.4002261	20.32715	nan	[-27607.93290911]	[-304468.69421875]	1606.5950263295188	|nan	nan	nan	nan	nan	nan
272.9798802485671	6.697311366296451	20.275303	-4.378317861683859	-1.5915418354287683	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|272.9899848	6.5991014	14.931	[2424.6428856]	[-23729.08253647]	7127.297136164542
197.1926148335603	18.701683141824436	13.119026	-105.64114260233902	-297.3601249775247	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|197.1931133	18.7028398	14.958	[106.66606202]	[270.83949881]	220.4222830762074
196.63484616173838	19.04227004354331	14.218543	38.467642457776456	46.288541591097015	|196.63465	19.042084	11.313	[-43.79347686]	[-39.57481224]	49.54364518483414	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|196.63482	19.0422489	16.321	[-62.8093558]	[-43.51248247]	30.67944994259844	|196.6346798	19.0420831	16.321	[-42.38357145]	[-47.84718315]	41.48123686398862
321.79039517618014	16.147625764532705	19.744753	-9.46436086747384	-13.508485188849392	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|321.7089418	16.1922353	nan	[-9129.77594532]	[5207.92378458]	5939.114136270872
11.028478203861145	50.107044361104485	19.65509	-3.9491442468831264	4.910441467739073	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|10.948172	49.996307	15.561	[-11208.73881167]	[-24014.10204757]	11451.133555126498	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|10.9481703	49.9962859	nan	[-8152.87393427]	[-17485.7143828]	10085.390865267249
150.04047992114488	6.78412944425908	14.087432	-94.0771024015837	-74.03197224988159	|150.040819	6.784411	10.929	[92.77919132]	[75.18618722]	78.73797953948987	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|150.0405203	6.7841728	nan	[112.49660154]	[123.90142286]	20.41885296571833	|150.0409062	6.7844362	nan	[102.08723865]	[71.11005224]	103.76402891541582
151.24157630866398	7.01451301168026	12.948843	-236.88821790123038	10.247605578700135	|151.242536	7.014477	10.181	[216.88154157]	[-8.29686688]	210.9531567500089	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|151.2425868	7.0144806	14.807	[231.99280747]	[-8.80888591]	220.3887819740894
149.6049402644879	6.9489479525268765	13.540729	177.54659724813587	-5.951632991698966	|149.604265	6.948989	10.804	[-165.96651749]	[10.72254265]	102.80580305699867	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|149.6042327	6.9489495	15.492	[-160.90503043]	[0.28385266]	155.8655002518779
121.36240113056837	-19.632023746151866	20.850368	7.832171763289434	1.2786139014089755	|121.229813	-19.739299	13.772	[-81714.17772693]	[-70286.61038204]	14696.910589060813	|121.22982662	-19.73928729	14.9791	[-139103.2234037]	[-115745.8300899]	517.9577697203329	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|121.2298559	-19.7393306	15.033	[-18336.4015666]	[-15775.40635991]	9054.236023958745
121.51045947253485	-19.38002557024382	19.393408	2.541318852327592	14.93855601586051	|121.622965	-19.506908	14.689	[36330.72063722]	[-43540.9906193]	15464.321250087134	|121.6204562	-19.50607487	16.9488	[107084.45949227]	[-131748.5156809]	458.27411026613873	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
111.63840611320366	-25.824861850431812	18.228704	-5.291399080777689	2.0529952856193026	|111.722822	-25.970858	13.946	[26008.92439217]	[-50063.2984747]	14115.796754027933	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
124.0780387766474	50.04736800501639	13.583416	-12.299873109333333	-189.5822048979769	|124.078063	50.048041	10.649	[0.15830463]	[179.02132266]	138.15131713035535	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
189.6904290938729	27.442971411493172	14.721531	-151.26677368229147	35.7739159383196	|189.691122	27.442829	11.76	[154.59960011]	[-36.1855136]	150.00015669266352	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|189.6910612	27.4428289	nan	[139.37896788]	[-37.59462109]	152.18466372914796
149.77246835521785	53.26368739093015	8.330777	-59.19068540760228	2.0054906679447897	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|149.7728753	53.2636387	9.689	[34.42507988]	[-7.16331864]	48.18799674792596
253.00311696993163	-33.19493159423668	19.989027	-4.442946933341963	5.105096300349746	|252.921861	-33.330747	15.216	[-23344.26935684]	[-46625.50854592]	12128.760592647131	|nan	nan	nan	nan	nan	nan	|252.917634	-33.331154	15.992	[-15125.23183838]	[-28901.07768367]	12451.530875305076	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
252.83387799876073	-33.117261462119636	20.153511	-11.897428954362258	13.652119573316536	|252.75911	-33.271464	nan	[-21462.16609849]	[-52856.28363267]	15313.476417083199	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
63.014648730430736	20.83114594373691	14.963053	136.32691173359765	-40.915348022142425	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|63.0140662	20.8312662	nan	[-133.78425468]	[27.46189701]	93.81574962407775
62.08222901283288	20.141588931458305	13.742665	51.55798269255176	-98.71085696623733	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|62.0819998	20.1419859	15.804	[-54.75527832]	[99.15597957]	91.26140585636897
357.32288989410904	-42.10346868249551	12.19278	-17.37799491346152	-180.17001959637645	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|357.3229953	-42.1026884	13.716	[16.44550205]	[106.99364719]	127.6842787888706
280.86658968830864	-7.94954913400898	19.655218	4.671925214528879	33.17984850915741	|280.889461	-8.100818	15.204	[5987.2778022]	[-40308.13715853]	17022.705490086304	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|280.8879144	-8.1013233	nan	[24022.83093225]	[-261260.46371331]	1130.4698778239133	|nan	nan	nan	nan	nan	nan
280.9651011112619	-8.009645653698023	19.752861	25.39215162795588	-22.605382861884895	|280.990705	-8.169528	13.391	[6887.77933264]	[-42721.64805737]	3847.2706259210304	|280.99068726	-8.16956683	18.0167	[72696.12621408]	[-185286.62342652]	295.84313105934604	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|280.9904122	-8.1708464	nan	[22081.55273718]	[-249580.83860573]	388.89761295429656	|nan	nan	nan	nan	nan	nan
98.92499117442256	59.73809189509285	15.491976	112.01563856449789	-97.53012855595898	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|98.9242824	59.7384109	nan	[-82.83742951]	[72.24479413]	119.83387866855179
255.29930814608107	55.58260959263376	11.764592	165.22349487247652	-184.29122069438685	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|255.29806	55.5834164	13.612	[-159.70219133]	[184.96863435]	198.62186063598344
265.3361684181319	-26.143055382464805	20.118708	-15.895127430440237	10.346935793737133	|nan	nan	nan	nan	nan	nan	|265.41608475	-26.2901136	20.4557	[72191.03447464]	[-122282.89780556]	155.43080410300604	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
70.66588153990699	-47.55173480715774	11.6857	-35.44565476902888	352.37039454269956	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|70.6661306	-47.5534075	13.178	[46.44700403]	[-386.25190508]	199.31388601756984
66.49968714720667	-46.35379315452114	11.867862	-164.0493149530613	-148.79218622058156	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|66.5007853	-46.3531181	13.69	[164.6209245]	[145.99030629]	170.91709610308885
5.865570756790996	24.307344323492373	12.837631	-224.83429259901155	118.04108014238548	|5.866549	24.306894	9.753	[223.96331361]	[-112.71341304]	164.33658382020562	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|5.8665265	24.3069089	14.648	[201.96430639]	[-101.57387922]	206.0573070256569
114.45381570865418	-21.612114144733233	20.31012	-1.2001218172761856	-9.88132585528354	|114.414601	-21.738053	13.452	[-12487.13102555]	[-43175.36327674]	12743.751143900432	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan
247.29554111284327	21.123439045497133	14.622263	-134.7361948001128	128.1952748966323	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|247.296113	21.1229406	nan	[125.31776603]	[-114.32166975]	155.71378409590577
32.32841024582714	-27.288159564836846	14.280205	112.54573609623101	-76.96830923886948	|32.328034	-27.287922	11.34	[-103.27686505]	[73.9379562]	62.672210396345584	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|nan	nan	nan	nan	nan	nan	|32.3278753	-27.2878248	16.354	[-43.08497135]	[26.92657944]	127.74666529345458
