,gaia_ra,gaia_dec,cat_ra,cat_dec,dt,dm,dist_sec,gaia_pmra,gaia_pmdec,new_pmksi,new_pmeta,F
4892429171367335040,65.40019016727416,-27.04609316054017,65.4002427,-27.0462175,38.5,2.22,0.46,-12.468864623801398,20.545892085868484,3.009878742187563,-0.06484364549743549,21.117375224896104
6027693584407085056,254.39300256751926,-31.37570590993032,254.3935274,-31.3781873,18.20000000000005,,9.089,-12.919468493510985,8.647652930921927,-11.098598238381506,-26.46710455058969,13.0263870845909
6027685097545659136,254.29885973731209,-31.520545494325987,254.2900527,-31.5192653,18.29999999999995,5.79,27.441,-5.66989084294922,8.70025678429224,3.5444861422733562,-14.637689997060988,9.880358931287509
6027685544222718208,254.07163892435952,-31.628937485348228,254.0769083,-31.635925300000004,19.29999999999995,4.33,29.894000000000002,-2.7530958387171323,3.776416434952438,27.696486999708448,-16.39722578748765,13.501606865119042
6027681558489999232,254.17560427134453,-31.67437847840921,254.1765159,-31.67686620000001,22.700000000000053,,9.389,-13.30184640360818,7.345171257222912,-7.318568922426215,-6.582580658858067,6.993427300173871
6027688808396716288,254.15301923335826,-31.495787675629874,254.15902979999998,-31.498479999999997,17.90000000000009,5.42,20.825,-128.9009422565504,135.54097067192492,-2.264573556321724,-0.34978631916743763,77.70613412866412
6027688808396716544,254.15284699394627,-31.49589894622555,254.1590298,-31.49848,17.90000000000009,5.35,21.114,-9.283945718995257,2.8919010277878305,-2.262466484689561,-0.3528783669879969,3.0960565682230987
6027694993154255616,254.3479395380302,-31.382459668004323,254.351448,-31.3756278,28.299999999999947,,26.829,1.2182444290469434,8.43035048588527,3.1012648404820657,2.7255504568292523,3.427785284750436
6027698360410944896,254.37618723295662,-31.246262474676858,254.3751303,-31.249057,30.90000000000009,4.13,10.597,-11.966075596639564,6.781639140278795,6.273149862561199,-2.6461401797970163,12.29558792528069
6027696264465863424,254.2334867403389,-31.343355290097065,254.23103360000002,-31.3444348,23.40000000000009,,8.516,-0.6598890947008333,-0.2981039360680472,-2.4360685722627395,3.5619663437115543,2.036756078433685
6027700387637490432,253.99368421857025,-31.459295582455397,253.9904965,-31.458262,26.299999999999947,,10.492,-1.0412613110614533,4.439233471202504,-7.817725899289052,-25.74302237115921,15.896240084087644
