ra,dec,pmra,pmdec,CMC15[dm|r|ra|dec|t],Pan-STARRS DR1[dm|r|ra|dec|t],2MASS All-Sky[dm|r|ra|dec|t],SDSS DR12[dm|r|ra|dec|t],URAT1[dm|r|ra|dec|t],UCAC4[dm|r|ra|dec|t]
65.40019016727416,-27.04609316054017,-12.468864623801398,20.545892085868484,0.73|0.232|65.400237|-27.046149|2009.3,2.09|0.009|65.40019667|-27.04609621|2012.7,3.15|0.413|65.400263|-27.046194|1999.7,,,2.22|0.46|65.4002427|-27.0462175|1977.0
254.39300256751926,-31.37570590993032,-12.919468493510985,8.647652930921927,2.74|7.952|254.39371|-31.377828|2008.4,0.01|29.971|254.38793868|-31.36859129|2014.1,3.65|20.334|254.39934|-31.374056|1998.5,,,nan|9.089|254.3935274|-31.3781873|1997.3
254.29885973731209,-31.520545494325987,-5.66989084294922,8.70025678429224,2.66|29.094|254.29408|-31.527516|2011.2,0.05|16.279|254.29682008|-31.52471202|2014.4,3.61|19.447|254.305199|-31.520784|1998.5,,,5.79|27.441|254.2900527|-31.5192653|1997.2
254.07163892435952,-31.628937485348228,-2.7530958387171323,3.776416434952438,2.46|27.135|254.070567|-31.636414|2005.5,0.05|16.494|254.07154791|-31.63351384|2014.4,3.57|23.066|254.076911|-31.633512|1998.5,,,4.33|29.894|254.0769083|-31.6359253|1996.2
254.17560427134453,-31.67437847840921,-13.30184640360818,7.345171257222912,2.7|15.832|254.175861|-31.669981|2008.4,0.05|18.383|254.17978294|-31.67070209|2014.4,3.81|27.89|254.178304|-31.666973|1998.5,,,nan|9.389|254.1765159|-31.6768662|1992.8
254.15301923335826,-31.495787675629874,-128.9009422565504,135.54097067192492,2.42|25.093|254.159445|-31.491465|2011.2,0.04|9.074|254.15295844|-31.49830282|2014.4,3.64|20.985|254.156136|-31.500975|1998.5,,,5.42|20.825|254.1590298|-31.49848|1997.6
254.15284699394627,-31.49589894622555,-9.283945718995257,2.8919010277878305,2.35|25.756|254.159445|-31.491465|2011.2,0.03|18.124|254.15023971|-31.49138104|2014.4,3.57|20.879|254.156136|-31.500975|1998.5,,,5.35|21.114|254.1590298|-31.49848|1997.6
254.3479395380302,-31.382459668004323,1.2182444290469434,8.43035048588527,2.23|29.302|254.357061|-31.380062|2005.5,0.02|29.293|254.35480867|-31.37680654|2014.4,3.33|26.682|254.345967|-31.389671|1998.5,,,nan|26.829|254.351448|-31.3756278|1987.2
254.37618723295662,-31.246262474676858,-11.966075596639564,6.781639140278795,3.25|29.292|254.369608|-31.25213|2005.6,0.02|22.536|254.37892879|-31.25206559|2014.0,3.96|16.371|254.376135|-31.250805|1998.5,,,4.13|10.597|254.3751303|-31.249057|1984.6
254.2334867403389,-31.343355290097065,-0.6598890947008333,-0.2981039360680472,3.03|22.201|254.231459|-31.337434|2007.4,0.04|16.988|254.23899814|-31.34377638|2014.4,4.61|22.853|254.23133|-31.337278|1998.5,,,nan|8.516|254.2310336|-31.3444348|1992.1
253.99368421857025,-31.459295582455397,-1.0412613110614533,4.439233471202504,2.54|17.327|253.992843|-31.464049|2008.4,0.0|13.109|253.99193631|-31.45597212|2014.4,3.39|28.432|253.999108|-31.452885|1998.5,,,nan|10.492|253.9904965|-31.458262|1989.2
254.29518668933304,-31.35566304598321,-12.47086705164148,15.001385676909184,3.17|27.89|254.297767|-31.348229|2007.4,0.19|17.27|254.29547163|-31.3508669|2013.6,3.94|25.526|254.296009|-31.348602|1998.5,,,nan|10.065|254.2948509|-31.3528781|1997.8
236.0404676375573,-72.55936255144208,-292.39434176975936,-61.98031452294738,,,0.69|19.537|236.023818|-72.557243|2000.2,,,0.21|12.334|236.0517527|-72.5587725|1984.7
180.18576535460744,20.848186880832397,-129.49672692481522,235.9547248878534,0.41|4.012|180.186335|20.847203|2000.5,1.63|1.175|180.1859022|20.84788237|2012.0,2.52|4.286|180.186419|20.84716|1999.4,2.01|2.637|180.186128|20.847533|2005.4,1.67|0.414|180.1858329|20.8480858|2013.9,1.72|3.779|180.1863359|20.8472778|2000.0
180.13649627171858,20.81528733944885,-130.13495603256536,235.45693503154243,,3.73|0.209|180.13652296|20.81523065|2012.3,4.24|4.358|180.137185|20.814257|1999.4,4.13|2.675|180.136888|20.814636|2005.4,nan|0.49|180.1365741|20.8151675|2013.6,
308.0096436108601,41.92681990974269,21.121711260719152,-5.906500939633043,,0.03|13.58|308.00983975|41.92305627|2011.7,2.6|17.148|308.015993|41.927479|1998.5,2.55|22.782|308.017822|41.928585|2003.7,nan|0.088|308.0096283|41.9268433|2013.5,
4.60971642938118,-63.47774960730262,90.06748591227064,-59.18017358531833,,,0.86|1.662|4.608859|-63.477486|2000.8,,,nan|1.665|4.608843|-63.4774953|1991.2
