ra,dec,CMC15,Pan-STARRS DR1,2MASS All-Sky,SDSS DR12,URAT1,UCAC4
65.40019016727416,-27.04609316054017,0.232|65.400237|-27.046149|0.08900000154972076|0.10700000077486038|2009.3483915126626|0.727778434753418,0.009|65.40019667|-27.04609621|0.0084|0.0187|2012.7257756927036|2.088279,0.413|65.400263|-27.046194|0.05999999865889549|0.05999999865889549|1999.6874193018475|3.146221160888672,,,0.46|65.4002427|-27.0462175|0.035|0.043|1977.0|2.220778465270996
254.39300256751926,-31.37570590993032,2.87e-322,0.0,7e-323,0.0,0.0,1e-323
254.29885973731206,-31.520545494325987,245.09578,67583.55,10.961822999999999,4.515584,,
254.07163892435952,-31.628937485348228,,,,,108.11088600000001,437.40677
254.17560427134453,-31.674378478409213,605.19104,708.01245,3.2523382,407.70828,127.42007,426.3284
254.15301923335826,-31.495787675629874,,,839.0238,9.847708,14.506257999999999,344.32236
254.15284699394627,-31.49589894622555,7.6139206999999995,272.96594,619.17377,54.74755,564.3046,14.44886
254.3479395380302,-31.382459668004323,3.8602992999999994,1.9925735,,8.199943,6.418272,
254.37618723295662,-31.246262474676858,186.9016,16.874659,5.665993,18.217102,25.000532,11.383178
254.2334867403389,-31.343355290097065,249.78104,34.672314,244.32027999999997,246.19244,17.238647,612.073
253.99368421857025,-31.459295582455397,329.13876,817.8357,,25.243085999999998,,631.5604
254.29518668933304,-31.355663045983214,166.69672,309.8605,144.78992,248.98642999999998,19.235754,976.4559300000001
236.0404676375573,-72.55936255144208,211.0792,,,,655.6360000000001,6.761413
180.18576535460744,20.848186880832397,6.708416499999999,,9.354335,7.790253,5.401192,
180.13649627171858,20.815287339448854,8.43121,6.197353400000001,4.752651999999999,7.3036323,4.7776146,3.7475862999999996
308.0096436108601,41.92681990974269,698.32605,64.54304499999999,5.825056,,19.158051999999998,18.235407000000002
4.60971642938118,-63.47774960730262,61.84834,598.2077,475.94083,370.07718,16.03685,368.50372000000004
0.634392555573465,-63.404373096473215,18.395864000000003,,,396.35245,4.5932956,78.31295
4.804660556324898,-62.43368300087373,778.4926,17.385334,461.4391,,23.11127,15.872432
3.396207613318845,-63.83916575063653,12.543289999999999,312.2499,50.415882,2.851892,359.1141,
1.9336850056045831,-63.534087028558346,4.535826999999999,6.3299303,,11.720193,4.4325886,13.186416
1.0333316347129542,-63.70835445266874,41.18625,26.015163,733.1207,73.99608,525.8687,345.38055
295.01802231584253,73.9113166515956,4.519119,6.567209700000001,1181.7352,8.955454,,8.655605
277.4397687423492,-27.47240637600302,120.11777,190.27225,138.65422,5.0687065,723.0789,144.97798
277.2604935725612,-27.43230841007973,447.20062,,,251.39395,157.20141999999998,709.1123
160.54559937963225,-56.70588642079543,7.458873,6.6154284,9.405771000000001,553.7161,715.22546,
2.169965152444446,36.626589527193254,,4.623155000000001,,13.590148999999998,306.5265,438.61400000000003
275.132162070102,-24.00048909998126,,48.285736,516.3447,140.00499,8.192542,6.275953299999999
273.64344414974585,-35.77343855860148,,4.655632,262.54077,17.03329,216.83287,1101.3145
322.9981677135474,-1.3354701376279616,671.0276,32.851112,5.2391787,289.17953,11.83842,607.4362
217.6491970354521,-60.4744910154249,17.98165,,4.066945,8.052263,447.58117999999996,178.49808000000002
217.98022680665557,-60.590255687529876,,6.572496000000001,136.65767,10.784537,,492.23257
242.54351439595283,-30.247346542562926,568.3087,540.50146,3.2450366,213.94887999999997,,12.746306
242.45394956647903,-30.515440183664776,293.05124,518.5079,1429.1997,2.3777757,5.7621839999999995,24.839170000000003
244.05383817456556,-29.62587579781432,6.094172,1212.8871,1703.9844,16.648836,196.39247,
20.87072480698097,15.292488184476044,,227.16262999999998,,82.95841,175.79578999999998,400.7145
9.889655116145038,60.55308006404253,567.2172,24.500861999999998,83.62523,573.2282,,
246.03029789374585,-0.25687997394147943,2.7709067000000003,5.7357225,889.3991,753.7733,110.77832,449.32538
99.10572478759329,18.513547760954005,597.5164,279.94003,509.97763,692.7988,6.4206650000000005,
270.16197597418824,-16.68468726140543,8.172422000000001,6.2882066,10.210253,187.3809,8.092908,90.30683
270.1379688402758,-16.670546627717194,389.41022000000004,7.965981,155.21284,419.85745,181.34032,
270.0188259017549,-16.644908321702626,158.72243,1063.9807,568.63525,473.8497,472.43546,71.03687
270.1561222881497,-16.589879081126963,,590.7344400000001,135.47855,202.21672,725.77783,57.676269999999995
270.15912445171193,-16.72065431279649,1.7059702,7.150402499999999,8.601932000000001,,222.24627999999998,266.49557000000004
268.65475932428103,-15.814526729615626,19.388096,431.08,234.06567,279.40576,140.51262,497.11699999999996
270.1800661448332,-16.62284908362641,60.639697999999996,223.46376,308.3511,321.0368,702.6909,329.06714
268.6702924782644,-15.797477894978687,,7.180289299999999,3.0126762,8.170888,,1.1159277
107.8658259795923,48.327932722393726,16.936756,15.609658999999999,13.552945000000001,298.2169,,324.0251
108.36412189587375,48.28190587969664,922.93335,17.917862,7.310728500000001,10.874438,,27.771117999999998
197.25599432142346,-57.45532884596653,522.3779,,205.17845,6.435636,502.86404000000005,
196.80439709997142,-57.44034417935782,4.4694449999999994,38.095078,637.10974,787.5169,571.8936,500.04233
197.23800971738925,-57.36041538728581,574.8879400000001,312.08496,,32.98577,2.771041,4.6001263
197.02328627880257,-57.41571624538077,8.506132000000001,7.278662700000001,5.830061,341.32245,208.60547,517.5809
197.00916143527598,-57.56827317175912,191.68196,378.08102,,342.8396,,
196.93581066384976,-57.448269638029956,397.77457000000004,711.6986,,282.12102999999996,,4.1146197
196.48815206272357,-57.61352600235342,,,,269.36697000000004,138.23533999999998,253.2264
236.8006503583471,-19.167650936293413,695.74133,5.124276999999999,7.996392299999999,211.79832000000002,4.01687,
173.13630167897884,-64.42975521906978,630.9585,354.63982999999996,63.929790000000004,348.9876,107.16565,526.56305
195.01002019234562,-28.726080822944695,747.3451,520.7065,447.81445,479.85882999999995,428.63812,503.51415999999995
195.03415869659096,-28.461081383007844,3.2787998,19.602253,11.148709,7.873336,8.193717999999999,
242.11108951132567,-28.119821511115198,4.1593184,,7.0808773,97.50065,407.5247,398.66904
241.9204408679417,-28.418211842898344,,,,9.784918,508.3739,643.8137
309.43185676315386,17.120841410302468,1095.4072,599.49695,360.36978,79.30136999999999,22.773775,481.85324
309.68476024991264,17.332419560848983,37.536021999999996,48.999275,2.7192338,48.916138000000004,936.66626,26.994835
159.3480777653227,33.939240861978824,,3.1894057,226.34908,3.7795832000000003,460.75800000000004,277.96246
160.7613262061846,34.44400224993012,487.53815,144.12941,7.591672,5.6767224999999994,,
268.6851780790026,-37.02938598814391,310.28052,467.39685,,,,
267.18496273942185,-35.73276526623568,5.6357527,,12.965695,15.274095999999998,,341.82178
268.6605480212133,-36.96335796627536,371.7127,110.997635,680.9754,268.42914,373.91977,293.43408
236.514726226569,-7.443348398257524,6.1480474,317.72842,184.05211,10.574330999999999,197.91502,181.4203
0.6033724108226648,63.962728059457156,97.65048,18.30152,533.5785,247.42117000000002,303.3688,
133.9485685281792,61.166644801724864,7.4413743000000006,7.407681,1.5880068999999999,,,10.118799000000001
134.7583000684652,60.992638257303035,,6.3452077000000005,5.8915714999999995,5.200569000000001,5.0265737,10.3562
276.38070461411513,-46.7890787170658,382.2055,62.093304,293.5071,566.6899,10.311134,190.20381
276.36584308809853,-46.768085356834995,32.95782,235.00697000000002,26.204739,482.8699,45.624953999999995,
97.20281214821549,-51.34414022603406,6.3322883,395.85513,105.39806999999999,158.79945,133.3752,5.222705
97.1832499553368,-51.846188369619476,449.1404,176.73491,127.85071,192.13295,793.5982700000001,11.900504
229.50787521889112,42.25722486417057,466.1363,189.56113,53.984375,3.2143908,,9.321211
226.69425697559714,40.67079477320403,482.05672999999996,191.38245,36.578635999999996,619.6872599999999,9.59326,65.00666
117.5616859954904,7.189246217905642,336.87115,15.8689375,3.8513508,363.37112,793.6612,5.969809
117.56483528464396,7.185929236517684,98.75194499999999,15.111872,,,6.955682799999999,791.37933
283.0789034858078,-4.951026881908285,11.094963,49.687363,29.360159999999997,7.982187700000001,648.9254,
283.0245100405172,-4.92271400609634,32.32915,114.26883000000001,6.4813165999999995,18.071426000000002,644.4568,4.2605405
249.55446175837352,-44.3460478451556,441.98082999999997,484.9757,441.45392000000004,77.111176,787.7143599999999,257.9865
250.36551692304482,-43.98855046191316,11.639005000000001,623.6524,8.667506,9.200602,9.397043,6.9194727
267.39883491588057,-38.089169335097715,,515.06683,453.66354,233.97102,570.37,169.31181
295.439639842937,20.32814565128005,,37.87123,15.765893,17.878738000000002,,
295.5300424726575,20.501219532594238,7.159631,9.155462,415.9817,208.20406,526.1417,6.0060043
295.0501911592765,20.370875131726137,624.879,813.1969,,11.5255375,11.407775,22.134829999999997
295.4924806031996,20.40125311232585,,67.33234,4.1030983999999995,257.0289,6.471701599999999,37.550156
295.2642414917824,20.496822524691414,172.132,11.9120245,28.911309999999997,4.261166,,
295.40318970801684,20.4626730510033,497.29857999999996,553.60675,10.600850999999999,449.19455,353.82272,275.85677999999996
295.0942858340616,20.470549728204368,595.9986,377.1059,765.8998,,10.806144,7.225532
295.03150056069734,20.460262613591897,438.95062,2.7285604,415.2746,365.51575,828.5523,128.61658
296.0159353613103,20.326280599109488,10.779141000000001,3.269692,549.2609,6.466501,503.53424,158.5993
296.1535253306331,20.273435089213365,6.4906754,15.807225,28.112803000000003,178.5354,11.111655,19.317102
295.42382856743365,20.42434933129462,7.9667699999999995,,5.074586,,7.2251970000000005,
295.42228779366457,20.484214084898163,8.926394,20.650927,196.35301,5.5619326,153.2046,11.425482
295.26716766534145,20.612131664190162,5.442424,17.355036,68.72896,934.2528,681.1984,
296.0290159343935,20.348499112981557,8.717504,123.60006000000001,90.39317,627.9034,402.25534,6.0307627
295.9078258719305,20.285691107267766,38.948640000000005,130.58408,1202.6842,121.703354,,74.27384
295.38820870773554,20.491492384476395,5.4681745,215.78746,642.8362400000001,893.33014,9.796551,250.17862999999997
272.9798802485671,6.697311366296451,,16.102457,314.22452000000004,332.291,329.2002,283.27017
