RA[deg]          	Decl [deg]          	|CMC15  |PanSt1 |2MASSAS|SDSS12 |URAT1  |UCAC4  |total
 65.400190167274161	-27.046093160540174	14.651221	|  NF   |  NF   |  NF   | fail1 | fail1 |success|1
254.393002567519233	-31.375705909930318	20.265120	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.298859737312029	-31.520545494325987	20.082174	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.071638924359519	-31.628937485348231	20.142510	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.175604271344525	-31.674378478409217	20.181887	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.153019233358236	-31.495787675629870	19.950592	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.152846993946270	-31.495898946225555	19.881737	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.347939538030204	-31.382459668004323	19.858953	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.376187232956624	-31.246262474676858	20.354567	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.233486740338947	-31.343355290097065	20.134693	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
253.993684218570252	-31.459295582455400	19.939587	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.295186689333036	-31.355663045983217	20.319477	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
236.040467637557327	-72.559362551442078	14.969399	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
180.185765354607440	 20.848186880832401	11.625326	|success|  NF   |  NF   |  NF   |  NF   |success|2
180.136496271718613	 20.815287339448858	17.102951	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
308.009643610860110	 41.926819909742690	19.663229	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
  4.609716429381180	-63.477749607302620	 7.326380	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
  0.634392555573465	-63.404373096473215	11.785486	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
  4.804660556324898	-62.433683000873728	20.967611	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
  3.396207613318845	-63.839165750636532	13.694408	| fail1 | fail1 |  NF   | fail1 | fail1 |success|1
  1.933685005604583	-63.534087028558353	15.992809	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
  1.033331634712954	-63.708354452668743	12.466385	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
295.018022315842529	 73.911316651595598	19.516172	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
277.439768742349202	-27.472406376003018	19.747808	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
277.260493572561188	-27.432308410079735	19.522148	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
160.545599379632250	-56.705886420795430	17.698765	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
  2.169965152444446	 36.626589527193246	 6.066373	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
275.132162070101970	-24.000489099981259	18.879007	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
273.643444149745847	-35.773438558601477	19.809402	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
322.998167713547389	 -1.335470137627962	12.677180	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
217.649197035452090	-60.474491015424903	20.156410	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
217.980226806655537	-60.590255687529876	20.370970	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
242.543514395952826	-30.247346542562934	20.636646	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
242.453949566479025	-30.515440183664776	14.635643	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
244.053838174565527	-29.625875797814317	13.290977	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
 20.870724806980967	 15.292488184476046	15.851067	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
  9.889655116145041	 60.553080064042533	11.835897	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
246.030297893745853	 -0.256879973941479	18.233873	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
 99.105724787593289	 18.513547760954005	13.841900	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
270.161975974188238	-16.684687261405429	19.705181	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
270.137968840275789	-16.670546627717197	19.989895	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
270.018825901754951	-16.644908321702623	20.002123	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
270.156122288149675	-16.589879081126963	20.424767	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
270.159124451711932	-16.720654312796491	20.222439	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
268.654759324280974	-15.814526729615629	19.880710	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
270.180066144833177	-16.622849083626409	20.316927	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
268.670292478264400	-15.797477894978687	20.350582	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
107.865825979592302	 48.327932722393726	11.394378	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
108.364121895873765	 48.281905879696637	14.804215	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
197.255994321423458	-57.455328845966534	19.681267	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
196.804397099971425	-57.440344179357830	20.751566	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
197.238009717389247	-57.360415387285812	19.814701	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
197.023286278802573	-57.415716245380764	20.265133	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
197.009161435275956	-57.568273171759117	19.464783	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
196.935810663849765	-57.448269638029949	20.099915	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
196.488152062723572	-57.613526002353424	19.602835	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
236.800650358347070	-19.167650936293416	14.327536	|  NF   |  NF   |  NF   |  NF   | fail1 |  NF   |0
173.136301678978839	-64.429755219069776	17.025093	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
195.010020192345650	-28.726080822944695	12.576677	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
195.034158696590964	-28.461081383007844	13.101027	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
242.111089511325673	-28.119821511115198	20.034838	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
241.920440867941750	-28.418211842898344	12.970109	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
309.431856763153917	 17.120841410302468	17.539774	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
309.684760249912642	 17.332419560848983	13.631169	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
159.348077765322671	 33.939240861978824	14.392943	|success|  NF   |  NF   |  NF   |  NF   |success|2
160.761326206184634	 34.444002249930122	13.958513	|success|  NF   |  NF   |  NF   |  NF   |success|2
268.685178079002583	-37.029385988143908	19.765606	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
267.184962739421849	-35.732765266235681	19.139065	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
268.660548021213231	-36.963357966275360	19.543705	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
236.514726226568996	 -7.443348398257524	13.686811	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
  0.603372410822665	 63.962728059457156	17.023770	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
133.948568528179209	 61.166644801724864	 8.681542	| fail1 |  NF   |  NF   |  NF   |  NF   |  NF   |0
134.758300068465189	 60.992638257303042	15.568015	| fail1 |  NF   |  NF   |  NF   |  NF   |success|1
276.380704614115075	-46.789078717065799	12.627056	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
276.365843088098529	-46.768085356834987	14.849949	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 97.202812148215472	-51.344140226034064	14.458872	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 97.183249955336791	-51.846188369619476	16.948168	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
229.507875218891087	 42.257224864170567	 9.218065	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
226.694256975597142	 40.670794773204030	15.024842	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
117.561685995490407	  7.189246217905641	16.608360	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
117.564835284643948	  7.185929236517685	16.359718	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
283.078903485807814	 -4.951026881908284	19.667328	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
283.024510040517157	 -4.922714006096339	19.995993	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
249.554461758373520	-44.346047845155596	20.528530	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
250.365516923044794	-43.988550461913157	10.641061	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
267.398834915880570	-38.089169335097722	19.231146	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
295.439639842937027	 20.328145651280053	20.524817	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.530042472657499	 20.501219532594238	20.431515	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.050191159276551	 20.370875131726137	19.912357	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.492480603199567	 20.401253112325850	20.612050	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.264241491782343	 20.496822524691414	19.971893	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.403189708016839	 20.462673051003300	20.596928	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.094285834061623	 20.470549728204368	20.130090	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.031500560697395	 20.460262613591901	20.556763	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
296.015935361310312	 20.326280599109488	20.045162	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
296.153525330633101	 20.273435089213372	20.640345	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.423828567433645	 20.424349331294621	19.019379	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.422287793664566	 20.484214084898163	20.571224	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.267167665341447	 20.612131664190159	20.642036	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
296.029015934393499	 20.348499112981553	20.070550	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.907825871930527	 20.285691107267766	20.571330	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.388208707735544	 20.491492384476395	20.792114	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
272.979880248567099	  6.697311366296451	20.275303	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
157.787652398963047	-53.258060472775391	 9.480497	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
108.537094028798606	 18.483455805095559	10.148749	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
110.931320687341938	 20.415298565858748	 9.507422	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
278.167171383430230	-22.407668940745875	19.631567	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
278.156615340093879	-22.319929539442615	20.127930	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
278.174020250206354	-22.380082447410754	18.779797	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
278.154835164532074	-22.383681107723465	17.945475	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
284.077601260619133	  7.059728124548025	19.543192	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
271.650442883772314	-29.489275551140320	19.658428	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
225.947882870754341	-68.215649516751270	18.233112	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
197.192614833560299	 18.701683141824436	13.119026	|  NF   |  NF   |  NF   |  NF   |  NF   |success|1
196.634846161738380	 19.042270043543311	14.218543	|success|  NF   |  NF   |  NF   |  NF   |success|2
321.777209586097456	 16.123737099574917	 6.588246	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
321.790395176180141	 16.147625764532705	19.744753	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
114.624099118493277	-50.071430475191235	12.528694	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 10.741440433276985	 49.886549358157311	15.788424	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
 11.823048503707081	 50.489591755484874	12.108886	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
 11.028478203861145	 50.107044361104485	19.655090	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
277.572898998547259	-14.955989443675900	19.485104	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
277.299836980164116	-15.061146882133206	20.000217	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
136.329646871852077	-48.112639617825408	12.801245	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 76.730913521883039	-69.643257174940274	20.276133	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
150.040479921144879	  6.784129444259080	14.087432	|  NF   |  NF   |  NF   |  NF   |  NF   |success|1
151.241576308663980	  7.014513011680260	12.948843	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
149.604940264487908	  6.948947952526876	13.540729	|  NF   |  NF   |  NF   |  NF   |  NF   |success|1
144.006149112836624	-32.633608852057343	11.295942	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
272.359869654785825	-45.107078582206562	19.243824	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
273.913229875930767	-33.697183303996731	12.406486	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
273.863672336194554	-33.557438685267954	19.021935	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
274.054489254758892	-33.383101533610841	19.386750	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
274.109409306079840	-33.404684602519360	19.219470	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
121.362401130568372	-19.632023746151866	20.850368	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
121.790825963896168	-19.190503156753177	20.566217	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
121.510459472534848	-19.380025570243820	19.393408	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
 70.997315911684751	 51.107638856843501	15.904928	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
