RA[deg]          	Decl [deg]          	|CMC15  |PanSt1 |2MASSAS|SDSS12 |URAT1  |UCAC4  |total
 65.400190167274161	-27.046093160540174	|  NF   |  NF   |  NF   | fail1 | fail1 |success|1
254.393002567519233	-31.375705909930318	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.298859737312029	-31.520545494325987	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.071638924359519	-31.628937485348231	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.175604271344525	-31.674378478409217	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.153019233358236	-31.495787675629870	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.152846993946270	-31.495898946225555	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.347939538030204	-31.382459668004323	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.376187232956624	-31.246262474676858	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.233486740338947	-31.343355290097065	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
253.993684218570252	-31.459295582455400	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
254.295186689333036	-31.355663045983217	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
236.040467637557327	-72.559362551442078	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
180.185765354607440	 20.848186880832401	|success|  NF   |  NF   |  NF   |  NF   |success|2
180.136496271718613	 20.815287339448858	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
308.009643610860110	 41.926819909742690	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
  4.609716429381180	-63.477749607302620	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
  0.634392555573465	-63.404373096473215	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
  4.804660556324898	-62.433683000873728	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
  3.396207613318845	-63.839165750636532	| fail1 | fail1 |  NF   | fail1 | fail1 |success|1
  1.933685005604583	-63.534087028558353	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
  1.033331634712954	-63.708354452668743	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
295.018022315842529	 73.911316651595598	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
277.439768742349202	-27.472406376003018	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
